2024-04-26 05:14:24 - [29, 700] loss: 0.04418590024928562
2024-04-26 05:14:55 - [30, 100] loss: 0.0446992033184506
2024-04-26 05:15:00 - [30, 200] loss: 0.04285351021564566
2024-04-26 05:15:05 - [30, 300] loss: 0.034934042749227956
2024-04-26 05:15:09 - [30, 400] loss: 0.03705231752188411
2024-04-26 05:15:14 - [30, 500] loss: 0.047383373244665565
2024-04-26 05:15:19 - [30, 600] loss: 0.0930678136809729
2024-04-26 05:15:24 - [30, 700] loss: 0.11738434375263751
2024-04-26 05:15:55 - [31, 100] loss: 0.07588972015306354
2024-04-26 05:15:59 - [31, 200] loss: 0.039292264361865815
2024-04-26 05:16:04 - [31, 300] loss: 0.03160546007449739
2024-04-26 05:16:09 - [31, 400] loss: 0.05627741868724115
2024-04-26 05:16:14 - [31, 500] loss: 0.033737386011052875
2024-04-26 05:16:19 - [31, 600] loss: 0.030058320009848104
2024-04-26 05:16:24 - [31, 700] loss: 0.026776793976023328
2024-04-26 05:16:55 - [32, 100] loss: 0.0703317388216965
2024-04-26 05:16:59 - [32, 200] loss: 0.05312696608016267
2024-04-26 05:17:04 - [32, 300] loss: 0.03532897933968343
2024-04-26 05:17:09 - [32, 400] loss: 0.03605486769054551
2024-04-26 05:17:14 - [32, 500] loss: 0.03292361627100036
2024-04-26 05:17:19 - [32, 600] loss: 0.025660377471940592
2024-04-26 05:17:24 - [32, 700] loss: 0.03570501320180483
2024-04-26 05:17:54 - [33, 100] loss: 0.032288256081519646
2024-04-26 05:17:59 - [33, 200] loss: 0.030330835431814192
2024-04-26 05:18:04 - [33, 300] loss: 0.06475773420126643
2024-04-26 05:18:09 - [33, 400] loss: 0.05018898557173088
2024-04-26 05:18:14 - [33, 500] loss: 0.05438540070550516
2024-04-26 05:18:19 - [33, 600] loss: 0.06316869523841888
2024-04-26 05:18:24 - [33, 700] loss: 0.02952510633971542
2024-04-26 05:18:54 - [34, 100] loss: 0.0546765691624023
2024-04-26 05:18:59 - [34, 200] loss: 0.047074561499757694
2024-04-26 05:19:04 - [34, 300] loss: 0.028422223906964063
2024-04-26 05:19:09 - [34, 400] loss: 0.02746850870666094
2024-04-26 05:19:14 - [34, 500] loss: 0.020879483554745094
2024-04-26 05:19:19 - [34, 600] loss: 0.024147846467094496
2024-04-26 05:19:24 - [34, 700] loss: 0.024316438607638702
2024-04-26 05:19:54 - [35, 100] loss: 0.016003119852393867
2024-04-26 05:19:59 - [35, 200] loss: 0.016708153473446147
2024-04-26 05:20:04 - [35, 300] loss: 0.016326692861257472
2024-04-26 05:20:09 - [35, 400] loss: 0.02115493959921878
2024-04-26 05:20:14 - [35, 500] loss: 0.02542941942025209
2024-04-26 05:20:19 - [35, 600] loss: 0.03575272729984135
2024-04-26 05:20:24 - [35, 700] loss: 0.054825100066373124
2024-04-26 05:20:54 - [36, 100] loss: 0.05798453166382387
2024-04-26 05:20:59 - [36, 200] loss: 0.07573084227507934
2024-04-26 05:21:04 - [36, 300] loss: 0.040001006786478686
2024-04-26 05:21:09 - [36, 400] loss: 0.02327741519315168
2024-04-26 05:21:13 - [36, 500] loss: 0.02612955176155083
2024-04-26 05:21:18 - [36, 600] loss: 0.020446203573956153
2024-04-26 05:21:23 - [36, 700] loss: 0.02214834436599631
2024-04-26 05:21:54 - [37, 100] loss: 0.011079027350569958
2024-04-26 05:21:59 - [37, 200] loss: 0.013478158371290192
2024-04-26 05:22:04 - [37, 300] loss: 0.029412745180889033
2024-04-26 05:22:09 - [37, 400] loss: 0.034127586225513366
2024-04-26 05:22:13 - [37, 500] loss: 0.03873864836758003
2024-04-26 05:22:18 - [37, 600] loss: 0.029855360289802776
2024-04-26 05:22:23 - [37, 700] loss: 0.028030824368761385
2024-04-26 05:22:54 - [38, 100] loss: 0.044395205410546625
2024-04-26 05:22:59 - [38, 200] loss: 0.08366619519423693
2024-04-26 05:23:04 - [38, 300] loss: 0.04221431774320081
2024-04-26 05:23:09 - [38, 400] loss: 0.024375056404969654
2024-04-26 05:23:13 - [38, 500] loss: 0.022593212288047653
2024-04-26 05:23:18 - [38, 600] loss: 0.03500116562703624
2024-04-26 05:23:23 - [38, 700] loss: 0.019460541218868456
2024-04-26 05:23:54 - [39, 100] loss: 0.020791293517831946
2024-04-26 05:23:59 - [39, 200] loss: 0.08331626314931782
2024-04-26 05:24:04 - [39, 300] loss: 0.04621130631305277
2024-04-26 05:24:08 - [39, 400] loss: 0.042139724644366654
2024-04-26 05:24:13 - [39, 500] loss: 0.03012057097046636
2024-04-26 05:24:18 - [39, 600] loss: 0.03666222703526728
2024-04-26 05:24:23 - [39, 700] loss: 0.04081863187719136
2024-04-26 05:24:54 - [40, 100] loss: 0.02041022442805115
2024-04-26 05:24:58 - [40, 200] loss: 0.014516707224101992
2024-04-26 05:25:03 - [40, 300] loss: 0.017515079511649673
2024-04-26 05:25:08 - [40, 400] loss: 0.01750309481169097
2024-04-26 05:25:13 - [40, 500] loss: 0.020460743884323163
2024-04-26 05:25:18 - [40, 600] loss: 0.029685209143208338
2024-04-26 05:25:23 - [40, 700] loss: 0.03789046569494531
2024-04-26 05:25:53 - [41, 100] loss: 0.02002519582558307
2024-04-26 05:25:58 - [41, 200] loss: 0.01748813374972087
2024-04-26 05:26:03 - [41, 300] loss: 0.02753488153248327
2024-04-26 05:26:08 - [41, 400] loss: 0.030805121246958153
2024-04-26 05:26:13 - [41, 500] loss: 0.032281712939729916
2024-04-26 05:26:18 - [41, 600] loss: 0.025618662675842643
2024-04-26 05:26:23 - [41, 700] loss: 0.02411220549198333
2024-04-26 05:26:53 - [42, 100] loss: 0.05166125784744509
2024-04-26 05:26:58 - [42, 200] loss: 0.05367424051975831
2024-04-26 05:27:03 - [42, 300] loss: 0.025027090704534204
2024-04-26 05:27:08 - [42, 400] loss: 0.01717360657668905
2024-04-26 05:27:13 - [42, 500] loss: 0.021900384976761417
2024-04-26 05:27:18 - [42, 600] loss: 0.013205862579925452
2024-04-26 05:27:23 - [42, 700] loss: 0.016484153782075735
2024-04-26 05:27:56 - [43, 100] loss: 0.027937440217647234
2024-04-26 05:28:01 - [43, 200] loss: 0.02093854967301013
2024-04-26 05:28:06 - [43, 300] loss: 0.023348717988992577
2024-04-26 05:28:11 - [43, 400] loss: 0.01294066857721191
2024-04-26 05:28:16 - [43, 500] loss: 0.02820700567215681
2024-04-26 05:28:21 - [43, 600] loss: 0.02445634294854244
2024-04-26 05:28:26 - [43, 700] loss: 0.01884470664241235
2024-04-26 05:28:58 - [44, 100] loss: 0.03276962361880578
2024-04-26 05:29:03 - [44, 200] loss: 0.026953924499102867
2024-04-26 05:29:08 - [44, 300] loss: 0.026191266716632525
2024-04-26 05:29:12 - [44, 400] loss: 0.0170948697134736
2024-04-26 05:29:17 - [44, 500] loss: 0.013425446671899408
2024-04-26 05:29:22 - [44, 600] loss: 0.014929288241546601
2024-04-26 05:29:27 - [44, 700] loss: 0.030019242937851232
2024-04-26 05:29:58 - [45, 100] loss: 0.05505610113148578
2024-04-26 05:30:03 - [45, 200] loss: 0.11506908331008163
2024-04-26 05:30:07 - [45, 300] loss: 0.029553659936063924
2024-04-26 05:30:12 - [45, 400] loss: 0.023972996369120664
2024-04-26 05:30:17 - [45, 500] loss: 0.02389179349745973
2024-04-26 05:30:22 - [45, 600] loss: 0.022375557670311536
2024-04-26 05:30:27 - [45, 700] loss: 0.019883846626617015
2024-04-26 05:30:59 - [46, 100] loss: 0.01736299864438479
2024-04-26 05:31:04 - [46, 200] loss: 0.0074051999663061
2024-04-26 05:31:10 - [46, 300] loss: 0.010033748079986254
2024-04-26 05:31:15 - [46, 400] loss: 0.013707075795464334
2024-04-26 05:31:20 - [46, 500] loss: 0.026377863523666747
2024-04-26 05:31:25 - [46, 600] loss: 0.029995486289262772
2024-04-26 05:31:30 - [46, 700] loss: 0.0267653484956827
2024-04-26 05:32:00 - [47, 100] loss: 0.037929488612571734
2024-04-26 05:32:05 - [47, 200] loss: 0.021957072344084737
2024-04-26 05:32:10 - [47, 300] loss: 0.016842620336246908
2024-04-26 05:32:15 - [47, 400] loss: 0.014873741742630954
2024-04-26 05:32:20 - [47, 500] loss: 0.024136134387517813
2024-04-26 05:32:25 - [47, 600] loss: 0.029581162451650017
2024-04-26 05:32:30 - [47, 700] loss: 0.02719835857860744
2024-04-26 05:33:00 - [48, 100] loss: 0.031925653873040576
2024-04-26 05:33:05 - [48, 200] loss: 0.020056611569525557
2024-04-26 05:33:10 - [48, 300] loss: 0.016730049617544863
2024-04-26 05:33:15 - [48, 400] loss: 0.015551600145408883
2024-04-26 05:33:20 - [48, 500] loss: 0.015763542411805248
2024-04-26 05:33:25 - [48, 600] loss: 0.01382813874653948
2024-04-26 05:33:30 - [48, 700] loss: 0.018663109349799926
2024-04-26 05:34:00 - [49, 100] loss: 0.033524213182972745
2024-04-26 05:34:05 - [49, 200] loss: 0.020308365925739053
2024-04-26 05:34:10 - [49, 300] loss: 0.011717876530528883
2024-04-26 05:34:15 - [49, 400] loss: 0.013110982670805243
2024-04-26 05:34:20 - [49, 500] loss: 0.026695649214088915
2024-04-26 05:34:25 - [49, 600] loss: 0.019629483455501032
2024-04-26 05:34:30 - [49, 700] loss: 0.01887428765912773
2024-04-26 05:35:00 - [50, 100] loss: 0.09534275775891729
2024-04-26 05:35:05 - [50, 200] loss: 0.044844394624233244
2024-04-26 05:35:10 - [50, 300] loss: 0.031031710755778475
2024-04-26 05:35:15 - [50, 400] loss: 0.09124826780054718
2024-04-26 05:35:20 - [50, 500] loss: 0.10833453415194526
2024-04-26 05:35:25 - [50, 600] loss: 0.033440621860791
2024-04-26 05:35:29 - [50, 700] loss: 0.01953075716010062
