2024-04-26 14:25:15 - [41, 200] loss: 0.1268486838042736
2024-04-26 14:25:17 - [41, 300] loss: 0.11545875190757215
2024-04-26 14:25:18 - [41, 400] loss: 0.12573123717680573
2024-04-26 14:25:19 - [41, 500] loss: 0.15120228674262762
2024-04-26 14:25:20 - [41, 600] loss: 0.1663719342648983
2024-04-26 14:25:22 - [41, 700] loss: 0.1838067453354597
2024-04-26 14:25:45 - [42, 100] loss: 0.1351036293618381
2024-04-26 14:25:47 - [42, 200] loss: 0.12301722808741034
2024-04-26 14:25:48 - [42, 300] loss: 0.12923485385254024
2024-04-26 14:25:49 - [42, 400] loss: 0.13898333666846155
2024-04-26 14:25:50 - [42, 500] loss: 0.14776205791160466
2024-04-26 14:25:52 - [42, 600] loss: 0.16459652174264192
2024-04-26 14:25:53 - [42, 700] loss: 0.15123354641720652
2024-04-26 14:26:17 - [43, 100] loss: 0.10510776652023196
2024-04-26 14:26:18 - [43, 200] loss: 0.11472595566883684
2024-04-26 14:26:19 - [43, 300] loss: 0.10801484309136868
2024-04-26 14:26:21 - [43, 400] loss: 0.14258346039801836
2024-04-26 14:26:22 - [43, 500] loss: 0.1484147521853447
2024-04-26 14:26:23 - [43, 600] loss: 0.14887240897864104
2024-04-26 14:26:24 - [43, 700] loss: 0.16261806536465884
2024-04-26 14:26:48 - [44, 100] loss: 0.11849695845507086
2024-04-26 14:26:50 - [44, 200] loss: 0.11970094403252006
2024-04-26 14:26:51 - [44, 300] loss: 0.12731070809066294
2024-04-26 14:26:52 - [44, 400] loss: 0.13067992812022566
2024-04-26 14:26:53 - [44, 500] loss: 0.14694431288167834
2024-04-26 14:26:55 - [44, 600] loss: 0.1454586222395301
2024-04-26 14:26:56 - [44, 700] loss: 0.1609487521648407
2024-04-26 14:27:20 - [45, 100] loss: 0.09061005828902126
2024-04-26 14:27:21 - [45, 200] loss: 0.09824681584723294
2024-04-26 14:27:22 - [45, 300] loss: 0.13022112485021353
2024-04-26 14:27:24 - [45, 400] loss: 0.11498632987961173
2024-04-26 14:27:25 - [45, 500] loss: 0.12324461936950684
2024-04-26 14:27:26 - [45, 600] loss: 0.16178972858935595
2024-04-26 14:27:27 - [45, 700] loss: 0.14384714536368848
2024-04-26 14:27:51 - [46, 100] loss: 0.10650364538654684
2024-04-26 14:27:53 - [46, 200] loss: 0.10594625759869813
2024-04-26 14:27:54 - [46, 300] loss: 0.12066643379628658
2024-04-26 14:27:55 - [46, 400] loss: 0.12274541718885303
2024-04-26 14:27:56 - [46, 500] loss: 0.13266620868816972
2024-04-26 14:27:58 - [46, 600] loss: 0.12633315583691002
2024-04-26 14:27:59 - [46, 700] loss: 0.1435922649502754
2024-04-26 14:28:23 - [47, 100] loss: 0.11428117087110877
2024-04-26 14:28:24 - [47, 200] loss: 0.09283134292811156
2024-04-26 14:28:25 - [47, 300] loss: 0.12324801309034228
2024-04-26 14:28:27 - [47, 400] loss: 0.10713411924429238
2024-04-26 14:28:28 - [47, 500] loss: 0.1376386049296707
2024-04-26 14:28:29 - [47, 600] loss: 0.12617602299898864
2024-04-26 14:28:30 - [47, 700] loss: 0.13824945772066713
2024-04-26 14:28:54 - [48, 100] loss: 0.10700625289231538
2024-04-26 14:28:56 - [48, 200] loss: 0.09585426913574338
2024-04-26 14:28:57 - [48, 300] loss: 0.10890710363164544
2024-04-26 14:28:59 - [48, 400] loss: 0.11869410259649157
2024-04-26 14:29:00 - [48, 500] loss: 0.1223127886466682
2024-04-26 14:29:01 - [48, 600] loss: 0.13579704221338035
2024-04-26 14:29:03 - [48, 700] loss: 0.12421912379562855
2024-04-26 14:29:27 - [49, 100] loss: 0.08960262664593756
2024-04-26 14:29:28 - [49, 200] loss: 0.09421447769738733
2024-04-26 14:29:29 - [49, 300] loss: 0.10807967621833087
2024-04-26 14:29:31 - [49, 400] loss: 0.11702175917103887
2024-04-26 14:29:32 - [49, 500] loss: 0.12841749787330628
2024-04-26 14:29:33 - [49, 600] loss: 0.11985999394208192
2024-04-26 14:29:34 - [49, 700] loss: 0.13098101384937763
2024-04-26 14:29:58 - [50, 100] loss: 0.09656335473060608
2024-04-26 14:30:00 - [50, 200] loss: 0.10332840098068118
2024-04-26 14:30:01 - [50, 300] loss: 0.10316624864935875
2024-04-26 14:30:02 - [50, 400] loss: 0.11968031520023942
2024-04-26 14:30:03 - [50, 500] loss: 0.13678232973441481
2024-04-26 14:30:05 - [50, 600] loss: 0.13248725831508637
2024-04-26 14:30:06 - [50, 700] loss: 0.1300081257149577
